c-statistic,Lowest decile,Highest  decile,Year
0.848,1.865996,69.64805,2004
0.851,1.7211,68.82374,2005
0.852,1.644041,67.15285,2006
0.854,1.470199,63.92909,2007
0.857,1.390183,63.11287,2008
0.862,1.112049,59.45065,2009
0.863,0.992562,57.68026,2010
0.869,0.832437,55.0612,2011
