counter_N,counter_Mean,counter_StdDev,counter_Min,counter_Max,counter_Range,counter_Q1,counter_Median,counter_Q3,counter_Sum,year
890,61.494382022,79.178462206,1,683,682,6,28,89,54730,2004
899,76.817575083,106.07497287,1,1220,1219,7,36,115,69059,2005
912,99.546052632,135.21260271,1,1421,1420,8,43.5,153,90786,2006
920,116.46956522,148.76898987,1,1008,1007,10,52,180,107152,2007
918,141.35729847,192.72948141,1,1799,1798,10,61,212,129766,2008
928,147.47521552,201.90078798,1,1967,1966,12,66,213.5,136857,2009
956,166.48640167,216.22650724,1,1446,1445,11,66.5,252,159161,2010
951,199.1871714,283.36602456,1,2341,2340,12,79,297,189427,2011
